letter,frequency
p,1.902121965
r,5.629898681
o,8.181991971
j,0.25807685
e,12.59797362
c,1.806537947
t,9.63486905
g,2.456509272
u,2.609443701
n,6.490154846
b,1.61536991
s,6.50927165
h,6.604855668
i,6.14605238
l,5.171095393
d,3.708659912
k,1.099216211
f,2.284458039
a,6.862932518
y,2.121965207
m,2.236666029
w,2.972662971
v,0.726438539
q,0.047792009
x,0.019116804
z,0.057350411
