Sensor Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude,Right_Sensor Name,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 07:00,16.39999962,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 07:15,16.60000038,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 07:30,16.70000076,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 07:45,16.79999924,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 08:00,16.89999962,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 08:15,17.10000038,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 08:30,17.20000076,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 08:45,17.29999924,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 09:00,17.5,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 09:15,17.70000076,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 09:30,18,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 09:45,18.39999962,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 10:00,18.79999924,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 10:15,19.10000038,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
